Lexeme,Tokens,Type,ArrayDimSize,LineNo
a,Identifier,INT,0,15
a,Identifier,INT,1,15
args,Identifier,CHAR,0,8
args,Identifier,CHAR,0,8
args,Identifier,CHAR,0,8
array,Identifier,INT,0,21
array,Identifier,INT,10,21
c,Identifier,INT,0,9
d,Identifier,INT,0,9
g,Identifier,FLOAT,0,10
l,Identifier,CHAR,0,11
main,Identifier,VOID,0,8
main,Identifier,CHAR,2,8
main,Identifier,INT,0,8
main,Identifier,INT,1,8
n,Identifier,INT,0,9
p,Identifier,INT,0,14
p,Identifier,INT,1,14
q,Identifier,INT,0,8
s,Identifier,CHAR,0,18
swap,Identifier,INT,0,9
u,Identifier,INT,0,16
u,Identifier,INT,1,16
w,Identifier,CHAR,0,12
x,Identifier,INT,0,13
z,Identifier,INT,0,8
z,Identifier,INT,0,8
